Employer_Name,EIN,State,Participants,Plan_Year,Plan_Name,Self_Insured,Market_Segment
THE CHILDREN'S HOSPITAL CORPORATION,42774441,MA,16336.0,2024,CHILDREN'S HOSPITAL CORPORATION PENSION PLAN,Y,Large (5K+)
"NATIONAL MEDICAL CARE, INC.",42835488,MA,13667.0,2024,FRESENIUS MEDICAL CARE NORTH AMERICA RETIREMENT PLAN,Y,Large (5K+)
UNIFIRST CORPORATION,42103460,MA,13186.0,2024,UNIFIRST RETIREMENT SAVINGS PLAN,Y,Large (5K+)
BOARD OF TRUSTEES OF MASSACHUSETTS LABORERS' LEGAL SERVICES FUND,46357603,MA,12786.0,2024,MASSACHUSETTS LABORERS' LEGAL SERVICES FUND,Y,Large (5K+)
"SANTANDER HOLDINGS USA, INC.",232453088,MA,12643.0,2024,"SANTANDER HOLDINGS USA, INC. ENTERPRISE SEVERANCE POLICY",Y,Large (5K+)
"ALERISLIFE, INC.",43516029,MA,12163.0,2024,THE ALERISLIFE RETIREMENT PLAN,Y,Large (5K+)
BOT NORTH ATLANTIC STATES CARPENTERS VACATION FUND,43322721,MA,11749.0,2024,N. ATLANTIC STATES CARP. VACATION FUND,Y,Large (5K+)
"ANALOG DEVICES, INC.",42348234,MA,11626.0,2024,"ANALOG DEVICES, INC. THE INVESTMENT PARTNERSHIP PLAN",Y,Large (5K+)
MASS GENERAL BRIGHAM INCORPORATED,43230035,MA,10863.0,2024,CONSOLIDATED RETIREE MEDICAL SAVINGS ACCOUNT PROGRAM OF MASS GENERAL BRIGHAM AND MEMBER ORGANIZATIONS,Y,Large (5K+)
"BAIN AND COMPANY, INC.",42878322,MA,10395.0,2024,"BAIN AND COMPANY, INC. 401K SAVINGS PLAN",Y,Large (5K+)
"BIG Y FOODS, INC.",42052307,MA,10096.0,2024,"BIG Y FOODS, INC. 401(K) RETIREMENT SAVINGS PLAN",Y,Large (5K+)
"THE BOSTON CONSULTING GROUP, INC.",42432614,MA,10072.0,2024,"THE BOSTON CONSULTING GROUP, INC. EMPLOYEES' PROFIT SHARING RETIREMENT FUND",Y,Large (5K+)
FIDELITY WORKPLACE SERVICES LLC,43532603,MA,9732.0,2024,FIDELITY ADVANTAGE 401(K),Y,Large (5K+)
"BAYSTATE HEALTH, INC.",42105941,MA,9154.0,2024,"BAYSTATE HEALTH SYSTEM, INC. HEALTH BENEFITS PLAN",Y,Large (5K+)
HOUSE WORKS LLC,43436170,MA,8689.0,2024,HOUSE WORKS LLC 401(K) PLAN,Y,Large (5K+)
DASSAULT SYSTEMES AMERICAS CORP.,510379588,MA,8208.0,2024,DASSAULT SYSTEMES EMPLOYEE SAVINGS PLAN PLUS,Y,Large (5K+)
"SUN LIFE FINANCIAL U.S. SERVICES COMPANY, INC.",263730703,MA,8112.0,2024,SUN ADVANTAGE SAVINGS AND INVESTMENT PLAN,Y,Large (5K+)
PAREXEL INTERNATIONAL CORPORATION,42776269,MA,8069.0,2024,PAREXEL INTERNATIONAL CORPORATION 401(K) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
BENCHMARK SENIOR LIVING LLC,43385173,MA,7928.0,2024,BENCHMARK SENIOR LIVING 401(K) PLAN,Y,Large (5K+)
COMPUTERSHARE US SERVICES INC.,202974794,MA,7574.0,2024,COMPUTERSHARE 401(K) RETIREMENT PLAN,Y,Large (5K+)
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,41590850,MA,7346.0,2024,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY EMPLOYEE SEVERANCE PAYMENT PLAN,Y,Large (5K+)
BOARD OF TRUSTEES I.U.O.E. LOCAL 4 PENSION FUND,46013863,MA,7038.0,2024,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 4 PENSION FUND,Y,Large (5K+)
"ATHENAHEALTH, INC.",43387530,MA,6836.0,2024,"ATHENAHEALTH, INC. 401(K) PLAN",Y,Large (5K+)
"HOLOGIC, INC.",42902449,MA,6828.0,2024,"HOLOGIC, INC. SAVINGS AND INVESTMENT PLAN",Y,Large (5K+)
"AHOLD USA, INC.",530073545,MA,6758.0,2024,"AHOLD USA, INC. PENSION PLAN",Y,Large (5K+)
AQUENT LLC,43583617,MA,6560.0,2024,AQUENT LLC 401(K) PLAN,Y,Large (5K+)
ZOLL MEDICAL CORPORATION,42711626,MA,6489.0,2024,ZOLL MEDICAL CORPORATION EMPLOYEE SAVINGS PLAN,Y,Large (5K+)
CDM SMITH INC.,42473650,MA,6266.0,2024,CDM SMITH INC. CAPITAL ACCUMULATION PLAN,Y,Large (5K+)
BOARD OF TRUSTEE UNITE HERE! WORKERS,454227067,MA,6063.0,2024,UNITE HERE! WORKERS AND HOSPITALITY EMPLOYERS VDB PENSION TRUST,Y,Large (5K+)
"HUBSPOT, INC.",202632791,MA,6058.0,2024,"HUBSPOT, INC. 401(K) PROFIT SHARING PLAN & TRUST",Y,Large (5K+)
"CCL LABEL, INC.",131966972,MA,6055.0,2024,CCL INDUSTRIES 401(K) PROFIT-SHARING PLAN,Y,Large (5K+)
VERTEX PHARMACEUTICALS INCORPORATED,43039129,MA,5975.0,2024,VERTEX PHARMACEUTICALS INCORPORATED 401(K) PLAN,Y,Large (5K+)
"THE TJX COMPANIES, INC.",42207613,MA,5917.0,2024,"MEDICAL FLEXIBLE SPENDING ACCOUNT PLAN OF THE TJX COMPANIES, INC.",Y,Large (5K+)
"ENTEGRIS, INC.",411941551,MA,5874.0,2024,"ENTEGRIS, INC. 401(K) RETIREMENT SAVINGS PLAN",Y,Large (5K+)
BHI ENERGY SERVICES LLC,853926225,MA,5868.0,2024,BHI ENERGY 401(K) AND PROFIT SHARING PLAN,Y,Large (5K+)
"REVVITY, INC.",42052042,MA,5753.0,2024,"REVVITY, INC. SAVINGS PLAN",Y,Large (5K+)
"TOAST, INC.",454168768,MA,5681.0,2024,"TOAST, INC. 401(K) PLAN",Y,Large (5K+)
"MODERNATX, INC.",270226313,MA,5547.0,2024,"MODERNATX, INC. 401(K) PLAN",Y,Large (5K+)
"AKAMAI TECHNOLOGIES, INC.",43432319,MA,5526.0,2024,"AKAMAI TECHNOLOGIES, INC. 401(K) PLAN",Y,Large (5K+)
"BLUE CROSS BLUE SHIELD OF MASSACHUSETTS, INC.",41045815,MA,5489.0,2024,"BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS, INC. EMPLOYEE SAVINGS PLAN",Y,Large (5K+)
AMERICAN RENAL MANAGEMENT LLC,43527505,MA,5456.0,2024,AMERICAN RENAL MANAGEMENT LLC 401(K) PLAN,Y,Large (5K+)
KEOLIS,261413441,MA,5286.0,2024,"KEOLIS AMERICA, INC. 401(K) SAVINGS PLAN",Y,Large (5K+)
VERALTO CORPORATION,921941413,MA,5276.0,2024,VERALTO CORPORATION & SUBSIDIARIES SAVINGS PLAN,Y,Large (5K+)
TRUSTEES OF BOSTON UNIVERSITY,42103547,MA,5232.0,2024,SUPPLEMENTAL DEATH BENEFIT,Y,Large (5K+)
"THE MATHWORKS, INC.",942960235,MA,5224.0,2024,THE MATHWORKS 401(K) RETIREMENT PLAN,Y,Large (5K+)
THE STOP & SHOP SUPERMARKET COMPANY LLC,43061447,MA,5210.0,2024,STOP & SHOP SUPERMARKET COMPANY 401(K) PLAN,Y,Large (5K+)
COOPERATIVE BANKS EMPLOYEES RETIREMENT ASSOCIATION,46035593,MA,5080.0,2024,CBERA PLAN A,Y,Large (5K+)
"UG2, LLC",461581160,MA,5056.0,2024,"UG2, LLC 401(K) RETIREMENT PLAN",Y,Large (5K+)
WINN MANAGEMENT GROUP LLC,42582550,MA,4927.0,2024,WINN MANAGEMENT GROUP 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
THE HANOVER INSURANCE COMPANY,135129825,MA,4809.0,2024,THE HANOVER INSURANCE COMPANY SHORT TERM SALARY CONTINUANCE PLAN,Y,Mid-Market (500-5K)
VIRTUSA CORPORATION,43512883,MA,4575.0,2024,VIRTUSA CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
THE KRAFT GROUP LLC,43288096,MA,4481.0,2024,THE KRAFT GROUP RETIREMENT AND 401(K) PLAN,Y,Mid-Market (500-5K)
"FS BRANDS, INC.",421771604,MA,4456.0,2024,FS BRANDS 401(K) PLAN,Y,Mid-Market (500-5K)
"POINT32HEALTH SERVICES, INC.",42985923,MA,4430.0,2024,HEALTH CENTER,Y,Mid-Market (500-5K)
WATERS TECHNOLOGIES CORPORATION,43234558,MA,4380.0,2024,THE WATERS EMPLOYEE INVESTMENT PLAN,Y,Mid-Market (500-5K)
PTC INC.,42866152,MA,4370.0,2024,PTC 401K SAVINGS PLAN,Y,Mid-Market (500-5K)
ROPES & GRAY LLP,42233412,MA,4365.0,2024,ROPES & GRAY LLP RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
WELLINGTON MANAGEMENT COMPANY LLP,300835489,MA,4349.0,2024,WELLINGTON RETIREMENT AND PENSION PLAN,Y,Mid-Market (500-5K)
"UNITED SITE SERVICES, INC",352373387,MA,4294.0,2024,"UNITED SITE SERVICES, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
BIOGEN INC.,330112644,MA,4270.0,2024,U.S. CHANGE IN CONTROL SEVERANCE PLAN,Y,Mid-Market (500-5K)
"DEMOULAS SUPER MARKETS, INC.",42323411,MA,4210.0,2024,"DEMOULAS SUPER MARKETS, INC. DENTAL PLAN",Y,Mid-Market (500-5K)
HP HOOD LLC,41450950,MA,4174.0,2024,HP HOOD LLC RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"MKS INSTRUMENTS, INC.",42277512,MA,4151.0,2024,"MKS INSTRUMENTS, INC. PROFIT SHARING & 401(K) PLAN",Y,Mid-Market (500-5K)
MASSACHUSETTS BRICKLAYERS & MASONS PENSION FUND,46128039,MA,4121.0,2024,MASSACHUSETTS BRICKLAYERS & MASONS PENSION PLAN,Y,Mid-Market (500-5K)
THE BROAD INSTITUTE,263428781,MA,4098.0,2024,"THE BROAD INSTITUTE, INC. 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"DK CROWN HOLDINGS, INC.",463584674,MA,4076.0,2024,DRAFTKINGS 401(K) PLAN,Y,Mid-Market (500-5K)
"ACCESSION RISK MANAGEMENT GROUP, INC.",475281014,MA,4022.0,2024,ACCESSION RISK MANAGEMENT GROUP SEVERANCE PLAN FOR ELIGIBLE EMPLOYEES,Y,Mid-Market (500-5K)
"TMK GLOBAL HOLDINGS, LLC",320240384,MA,3979.0,2024,TRIMARK RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
PIPE & REFRIGERATION FITTERS LOCAL 537,516030859,MA,3781.0,2024,PIPEFITTERS UNION LOCAL NO. 537 PENSION FUND,Y,Mid-Market (500-5K)
BOARD OF TRUSTEES LOCAL UNION NO. 25 LEGAL PLAN,223032476,MA,3759.0,2024,TEAMSTERS LOCAL UNION NO. 25 LEGAL PLAN,Y,Mid-Market (500-5K)
"TERADYNE, INC. & SUBSIDIARIES",42272148,MA,3735.0,2024,"TERADYNE, INC. SAVINGS PLAN",Y,Mid-Market (500-5K)
"SKYWORKS SOLUTIONS, INC.",42302115,MA,3559.0,2024,SKYWORKS SOLUTIONS SAVINGS AND RETIREMENT 401(K) PLAN,Y,Mid-Market (500-5K)
"HENLEY ENTERPRISES, INC.",43036456,MA,3490.0,2024,HENLEY COMPANIES 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
W. B. MASON CO. INC.,42455641,MA,3488.0,2024,W. B. MASON COMPANY RETIREMENT 401(K) PLAN & TRUST,Y,Mid-Market (500-5K)
"MERCURY SYSTEMS, INC.",42741391,MA,3412.0,2024,MERCURY EMPLOYEES RETIREMENT INVESTMENT TRUST,Y,Mid-Market (500-5K)
"ELIASSEN GROUP, LLC.",43097449,MA,3402.0,2024,"ELIASSEN GROUP, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
ACUSHNET COMPANY,42591836,MA,3395.0,2024,ACUSHNET COMPANY 401(K) PLAN,Y,Mid-Market (500-5K)
"MEDICAL INFORMATION TECHNOLOGY, INC",42455639,MA,3357.0,2024,"MEDICAL INFORMATION TECHNOLOGY, INC. PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
PIPEFITTERS LOCAL UNION NO.537,42760802,MA,3331.0,2024,PIPEFITTERS LOCAL UNION NO. 537 DEFERRED INCOME ANNUITY FUND INDIVIDUAL ACCOUNT PLAN,Y,Mid-Market (500-5K)
"EMERSON HEALTH SYSTEM, INC.",42770977,MA,3327.0,2024,EMERSON HEALTH SYSTEM RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"SUMITOMO PHARMA AMERICA, INC.",222536587,MA,3318.0,2024,MY 401(K) PLAN,Y,Mid-Market (500-5K)
"LIONBRIDGE TECHNOLOGIES, LLC",43398462,MA,3274.0,2024,LIONBRIDGE TECHNOLOGIES 401K PLAN,Y,Mid-Market (500-5K)
BOT INTERNATIONAL UNION OF BRICKLAYERS MASS APPR & TRAIN FUND,222518280,MA,3252.0,2024,INTERNATIONAL UNION OF BRICKLAYERS MA-ME-NH-RI APPR & TRAINING FUND,Y,Mid-Market (500-5K)
MAPFRE U.S.A. CORP.,42599931,MA,3230.0,2024,MAPFRE U.S.A. CORP. PROFIT SHARING & 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
BOSTON BEER CORPORATION,43537265,MA,3218.0,2024,BOSTON BEER COMPANY 401(K) PLAN,Y,Mid-Market (500-5K)
INSTRUMENTATION LABORATORY,20448199,MA,3204.0,2024,INSTRUMENTATION LABORATORY SAVINGS PLAN,Y,Mid-Market (500-5K)
"JUSTICE RESOURCE INSTITUTE, INC.",42526357,MA,3005.0,2024,"PENSION PLAN OF JUSTICE RESOURCE INSTITUTE, INC.",Y,Mid-Market (500-5K)
"BEACON HILL STAFFING GROUP, LLC",43496741,MA,2996.0,2024,"BEACON HILL STAFFING GROUP, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
STERILITE CORPORATION AND SUBSIDIARIES,42022262,MA,2992.0,2024,STERILITE CORPORATION RETIREMENT INCOME PARTNERSHIP,Y,Mid-Market (500-5K)
MASSACHUSETTS BRICKLAYERS & MASONS ANNUITY FUND,46375393,MA,2923.0,2024,MASSACHUSETTS BRICKLAYERS & MASONS ANNUITY FUND,Y,Mid-Market (500-5K)
IPG PHOTONICS CORPORATION,43444218,MA,2922.0,2024,IPG PHOTONICS CORPORATION 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY,41456030,MA,2920.0,2024,HOUGHTON MIFFLIN HARCOURT SEVERANCE PLAN,Y,Mid-Market (500-5K)
PLYMOUTH ROCK ASSURANCE CORPORATION,42800590,MA,2897.0,2024,THE PLYMOUTH ROCK COMPANIES SAVINGS AND INVESTMENT PLAN,Y,Mid-Market (500-5K)
INSULET CORPORATION,43523891,MA,2890.0,2024,INSULET CORPORATION 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"GRANITE TELECOMMUNICATIONS, LLC",43643290,MA,2875.0,2024,GRANITE TELECOMMUNICATIONS 401(K) PLAN,Y,Mid-Market (500-5K)
"STURDY MEMORIAL HOSPITAL, INC.",42768252,MA,2789.0,2024,STURDY MEMORIAL 403(B) PLAN,Y,Mid-Market (500-5K)
AMERICAN TOWER CORPORATION,650723837,MA,2746.0,2024,AMERICAN TOWER RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
EASTERN BANK,43067724,MA,2739.0,2024,EASTERN BANK 401(K) PLAN,Y,Mid-Market (500-5K)
"ALEXION PHARMACEUTICALS, INC.",854136092,MA,2712.0,2024,"ALEXION PHARMACEUTICALS, INC. SEVERANCE PLAN",Y,Mid-Market (500-5K)
"TUFTS MEDICINE, INC.",42103587,MA,2707.0,2024,MELROSEWAKEFIELD HEALTHCARE 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"CURRICULUM ASSOCIATES, LLC",263954988,MA,2677.0,2024,CURRICULUM ASSOCIATES 401(K) PLAN,Y,Mid-Market (500-5K)
"AGERO, INC.",42534134,MA,2663.0,2024,"AGERO, INC. RETIREMENT PLAN",Y,Mid-Market (500-5K)
DIGITAL FEDERAL CREDIT UNION,42683316,MA,2648.0,2024,DIGITAL FEDERAL CREDIT UNION 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"ALKERMES, INC.",232472830,MA,2636.0,2024,"ALKERMES, INC. 401(K) RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
ASPENTECH CORPORATION,42739697,MA,2634.0,2024,ASPENTECH 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
ABT GLOBAL INC.,934368162,MA,2628.0,2024,ABT ASSOCIATES INC. EMPLOYEES STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
ULTRA ELECTRONICS INC.,61506005,MA,2600.0,2024,ULTRA ELECTRONICS INC. 401(K) PLAN,Y,Mid-Market (500-5K)
"HARTE HANKS, INC.",741677284,MA,2569.0,2024,"HARTE HANKS, INC. PENSION PLAN I",Y,Mid-Market (500-5K)
"ENEL NORTH AMERICA, INC.",61138478,MA,2539.0,2024,"ENEL NORTH AMERICA, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"HOLYOKE MEDICAL CENTER, INC.",222520073,MA,2538.0,2024,"HOLYOKE MEDICAL CENTER, INC. 403(B) RETIREMENT PLAN",Y,Mid-Market (500-5K)
MASSACHUSETTS FINANCIAL SERVICES COMPANY,42747644,MA,2534.0,2024,MASSACHUSETTS FINANCIAL SERVICES COMPANY DEFINED CONTRIBUTION PLAN,Y,Mid-Market (500-5K)
"CREATION TECHNOLOGIES INTERNATIONAL, INC.",980404228,MA,2492.0,2024,CREATION TECHNOLOGIES 401(K) PLAN,Y,Mid-Market (500-5K)
"GOTO TECHNOLOGIES USA, LLC",812216538,MA,2441.0,2024,"GOTO TECHNOLOGIES USA, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"L. KNIFE & SON, LLC",991893691,MA,2398.0,2024,SHEEHAN FAMILY COMPANIES EMPLOYEE SAVINGS PLAN,Y,Mid-Market (500-5K)
ROCKLAND TRUST COMPANY,41782600,MA,2368.0,2024,ROCKLAND TRUST CO EE SAVINGS PS AND STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
THE CANNABIST COMPANY HOLDINGS INC.,981488978,MA,2359.0,2024,THE CANNABIST COMPANY 401(K) PLAN,Y,Mid-Market (500-5K)
"DEVOTED HEALTH, INC.",821023772,MA,2345.0,2024,DEVOTED HEALTH 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"AZENTA, INC.",43040660,MA,2341.0,2024,"AZENTA, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
UMASS MEMORIAL SHIELDS PHARMACY LLC,453841517,MA,2313.0,2024,"UMASS MEMORIAL SHIELDS PHARMACY, LLC 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
COMPUTACENTER UNITED STATES INC.,880382430,MA,2310.0,2024,COMPUTACENTER 401(K) PLAN,Y,Mid-Market (500-5K)
"ALKU, LLC",261250834,MA,2309.0,2024,ALKU 401(K) PLAN,Y,Mid-Market (500-5K)
"SENSATA TECHNOLOGIES, INC.",204297839,MA,2298.0,2024,SENSATA TECHNOLOGIES CONTRIBUTION AND 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
COMMONWEALTH OF MASSACHUSETTS OFFICE OF THE TREASURER & RECEIVER GENER,46002284,MA,2278.0,2024,MASSACHUSETTS DEFINED CONTRIBUTION CORE PLAN,Y,Mid-Market (500-5K)
RAPID7 LLC,743111935,MA,2250.0,2024,RAPID7 LLC 401(K) PLAN,Y,Mid-Market (500-5K)
FORRESTER RESEARCH INC,42797789,MA,2248.0,2024,"FORRESTER RESEARCH, INC. 401(K) PLAN & TRUST",Y,Mid-Market (500-5K)
"TUFTS MEDICINE, INC.",472250732,MA,2241.0,2024,"CONSOLIDATED PENSION PLAN OF TUFTS MEDICINE, INC.",Y,Mid-Market (500-5K)
BOT SHEET METAL WORKERS LOCAL UNION NO.17 SUPPLEMENTAL PENSION FUND,200845880,MA,2210.0,2024,SHEET METAL WORKERS LOCAL UNION NO. 17 SUPPLEMENTAL PENSION PLAN,Y,Mid-Market (500-5K)
"ALNYLAM PHARMACEUTICALS, INC.",43696884,MA,2199.0,2024,"ALNYLAM PHARMACEUTICALS, INC. SAVINGS & INVESTMENT PLAN",Y,Mid-Market (500-5K)
"C & J CLARK AMERICA, INC.",232051236,MA,2196.0,2024,"CLARKS AMERICAS, INC. SAVINGS PLAN",Y,Mid-Market (500-5K)
TRIPADVISOR LLC,43503532,MA,2159.0,2024,TRIPADVISOR RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"THRIVE SKILLED PEDIATRIC CARE, LLC",812418344,MA,2157.0,2024,THRIVE SKILLED PEDIATRIC CARE RETIREMENT PLAN,Y,Mid-Market (500-5K)
"SERVICENET, INC.",42526194,MA,2121.0,2024,SERVICENET EMPLOYEE RETIREMENT PLAN,Y,Mid-Market (500-5K)
"NETSCOUT SYSTEMS, INC.",42837575,MA,2109.0,2024,"NETSCOUT SYSTEMS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"ABIOMED, INC.",42743260,MA,2082.0,2024,ABIOMED RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"ANALYSIS GROUP, INC.",42727260,MA,2078.0,2024,"ANALYSIS GROUP, INC. EMPLOYEE SAVINGS PLAN",Y,Mid-Market (500-5K)
DYNATRACE LLC,472362151,MA,2071.0,2024,DYNATRACE INC 401(K) PLAN,Y,Mid-Market (500-5K)
"CRANE NXT, CO.",880706021,MA,2071.0,2024,"CRANE NXT, CO. SAVINGS AND INVESTMENT PLAN",Y,Mid-Market (500-5K)
"CAMBRIDGE ASSOCIATES, LLC",43515240,MA,2070.0,2024,"CAMBRIDGE ASSOCIATES, LLC 401(K) SAVINGS PLAN & TRUST",Y,Mid-Market (500-5K)
"NORTHEAST SECURITY, INC.",42432920,MA,2028.0,2024,"NORTHEAST SECURITY, INC 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
POLAR CORP.,43026575,MA,2025.0,2024,POLAR BEVERAGES RETIREMENT PLAN,Y,Mid-Market (500-5K)
NOURIA ENERGY CORPORATION,43453446,MA,2016.0,2024,NOURIA 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
BARRETT DISTRIBUTION CENTERS,42233124,MA,1995.0,2024,"BARRETT DISTRIBUTION CENTERS, INC. 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"CONSIGLI BUILDING GROUP, INC.",270396940,MA,1959.0,2024,CONSIGLI BUILDING GROUP EMPLOYEE STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
"W. E. AUBUCHON CO., INC.",41050290,MA,1951.0,2024,"W. E. AUBUCHON CO., INC. 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"CIRCOR INTERNATIONAL, INC.",43477276,MA,1933.0,2024,"CIRCOR INTERNATIONAL, INC. 401(K) SAVINGS PLAN",Y,Mid-Market (500-5K)
LBD PARENT HOLDINGS LLC,464354563,MA,1931.0,2024,LUCKY BRAND 401(K) PLAN,Y,Mid-Market (500-5K)
CABOT CORPORATION,42271897,MA,1910.0,2024,CABOT 401(K) PLAN,Y,Mid-Market (500-5K)
"TALENTBURST, INC.",141838216,MA,1896.0,2024,"TALENTBURST, INC. 401K PLAN",Y,Mid-Market (500-5K)
MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO PC,42718459,MA,1887.0,2024,MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO SAVINGS AND RETIREMENT PLAN,Y,Mid-Market (500-5K)
"ECLINICALWORKS, LLC",43461392,MA,1874.0,2024,ECLINICALWORKS PROFIT SHARING 401(K) PLAN,Y,Mid-Market (500-5K)
"DELTAK MANUFACTURING, INC.",61558676,MA,1864.0,2024,"DELTAK MANUFACTURING, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
ADAM BOYLE,200557453,MA,1835.0,2024,IBEWUWUA GEORGE P FOGARTY JR MEMORIAL SCHOLARSHIP FUND,Y,Mid-Market (500-5K)
"STRAUMANN MANUFACTURING, INC.",202613644,MA,1802.0,2024,"STRAUMANN MANUFACTURING, INC. 401(K) SAVINGS PLAN",Y,Mid-Market (500-5K)
"42 NORTH DENTAL, LLC",43339878,MA,1794.0,2024,"42 NORTH DENTAL, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"CRA INTERNATIONAL, INC.",42372210,MA,1756.0,2024,CRA INTERNATIONAL 401(K) PLAN,Y,Mid-Market (500-5K)
NEIGHBORHEALTH,237425849,MA,1753.0,2024,NEIGHBORHEALTH 401(K) PLAN,Y,Mid-Market (500-5K)
BERKSHIRE BANK,43312097,MA,1740.0,2024,BERKSHIRE BANK 401(K) PLAN,Y,Mid-Market (500-5K)
ODYSSEY SYSTEMS CONSULTING GROUP,43373471,MA,1730.0,2024,ODYSSEY SYSTEMS CONSULTING GROUP LTD 401(K) PLAN,Y,Mid-Market (500-5K)
"BENEVOLENT TELEPHONE DEATH BENEFIT FUND, INC.",42480299,MA,1727.0,2024,"BENEVOLENT TELEPHONE DEATH BENEFIT FUND, INC.",Y,Mid-Market (500-5K)
NOVANTA CORPORATION,381859358,MA,1687.0,2024,NOVANTA CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
